id;texto
4;/ 47 Instrução Normativa MPDG n° 03, de 26/04/2018. Instrução Normativa Secretaria da RFB nº 1.244, de 30/01/2012. Lei nº 8.429, de 02/06/1992. Lei nº 10.406, de 10/1/2002. Lei nº 12.813, de 16/05/2013. Lei nº 12.846, de 01/08/2013. Lei nº 13.303, de 30/06/2016. Lei Complementar nº 123, de 14/12/2006. Portaria CGU nº 516, de 15/03/2010. Portaria Conjunta RFB/PGFN nº 1.751, de 02/10/2014. Portaria MF nº 358, de 05/09/2014. Resolução CGPAR nº 29, de 05/04/2022. Resolução CGPAR nº 45, de 30/12/2022. Resolução Conjunta CNJ/TSE nº 6, de 21/05/2020. SARB nº 027, de 08/12/2023. DOCUMENTAÇÃO UTILIZADA Regulamento de Licitações e Contratos da CAIXA 2ª versão, de 29/09/2023. ROTEIRO PADRÃO 40674 NORMATIVOS REVOGADOS Não se aplica ATENDIMENTO DE DÚVIDAS GECOT – GN CONTRATACOES ADMINISTRATIVAS
5;/ 47 CONTRATAÇÕES DE BENS E SERVIÇOS 1 FINALIDADE
1.1;Definir as diretrizes das contratações de bens e serviços da CAIXA, inclusive quanto ao planejamento, solicitação e formalização dos contratos. 2 DEFINIÇÕES
2.1;Disponível em https://dados.caixa/portal/glossario?norma=AD020. 3 REGRAS 3.1 DISPOSIÇÕES GERAIS
3.1.1;Este  normativo  dispõe  sobre  as  contratações  de  bens  e  serviços  para  a  CAIXA,  observando  os  princípios  e diretrizes estabelecidos no RLCC.
3.1.2;As  contratações  de  bens  e  serviços  são  precedidas  por  fase  de  planejamento,  quando  são  elaborados  os estudos  preliminares  e  o  termo  de  referência,  realizada  a  pesquisa  de  preços  e  gerados  os  demais  documentos  e informações que subsidiam a solicitação de contratação.
3.1.3;No caso de contratações efetuadas com recursos e em proveito de terceiros, observa -se os termos do acordo ou convênio com a entidade externa quanto à autorização para deflagração da licitação/contratação e/ou formalização do contrato.
3.1.3.1;O processamento das licitações e contratações é realizado de acordo com as disposições do Regulamento de Licitações e Contratos da CAIXA.
3.1.4;Em  todo  o  fluxo  do  processo  licitatório  e  das  contratações  devem  ser  observadas  as  diretrizes  estabelecidas nos [MN, PO001], [MN, PO006], [MN, PO007], [MN, PO048], [MN, PO073], [MN, OR137], [MN, OR142] e [MN, OR210].
3.1.5;Constam no Portal GECOT (https://caixa.sharepoint.com/sites/Contratacoes) materiais de apoio para subsidiar os Gestores demandantes e os empregados que atuam na área de contratações da  GECOT/CECOT.
3.1.6;Os contratos de Patrocínio, definidos pelo [MN, AE013], são formalizados nos termos do [MN, AD264].
3.1.7;As  Contratações  Concorrenciais,  que  visam  aprimorar  os  mecanismos  de  posicionamento  concorrencia l  da CAIXA, e contratações de soluções inovadoras, realizadas por meio de modalidade especial, seguem as disposições do [MN, AD233] e [MN, AD288], respectivamente. 3.1.8 LICITAÇÃO
3.1.8.1;As contratações com terceiros destinadas à aquisição e locação de bens e à prestação de serviços, inclusive de engenharia e de publicidade, à alienação de bens e ativos, à execução de obras, bem como à implementação de ônus real, são precedidas de licitação, ressalvadas as hipóteses legais de dispensa e inexigibilidade.
3.1.8.2;No âmbito da CAIXA é utilizada a modalidade Licitação CAIXA para os procedimentos licitatórios.
3.1.8.2.1;As normas sobre licitação constam no [MN, AD069]. 3.1.9 CONTRATAÇÕES DIRETAS
3.1.9.1;Destinam-se  às  contratações  de  bens  e  prestação  de  serviços  sem  a  condução  de  procedimento  licitatório, em razão da existência de fatores que tornam a licitação dispensável ou inexigível.
3.1.9.1.1;As  normas  sobre  contratações  diretas  e  suas  hipóteses  de  dispensa  e  inexigibilidade  constam  no  [MN, AD028].
3.1.9.1.2;Especificamente para locação de imóveis para uso CAIXA, as normas constam no  [MN, AD200]. 3.1.10 CONTRATAÇÃO  COM  RECURSOS  DE  AGÊNCIA  OFICIAL  DE  COOPERAÇÃO  ESTRANGEIRA  OU ORGANISMO FINANCEIRO MULTILATERAL DE QUE O BRASIL SEJA PARTE
3.1.10.1;Para  contratações  com  recursos  provenientes  de  financiamento  ou  doação  oriundos  de  agência  oficial  de cooperação  estrangeira,  banco  estrangeiro  de  fomento,  organismo  financeiro  multilateral  ou  demais  entidades públicas  ou  privadas  de  natureza  de  direito  internacional,  são  admitidas  as  condições  decorrentes  de  acordos, protocolos, convenções, tratados e contratos internacionais.
6;/ 47
3.1.10.2;São admitidas as normas e procedimentos operacionais dos organismos internacionais, inclusive quanto ao critério de seleção da proposta mais vantajosa, o qual  pode contemplar, além do preço, outros fatores de avaliação, desde que seja condição para a obtenção do financiamento ou da doação.
3.1.10.2.1;As  normas  e  procedimentos  dos  organismos  internacionais  serão  adotados  em  detrimento  da  legislação nacional aplicável, observados os princípios constantes neste normativo e no  [MN, AD069], quando compatível. 3.1.11 VEDAÇÕES E IMPEDIMENTOS
3.1.11.1;"É impedida de participar de licitações e de ser contratada pela CAIXA a empresa: a)  Cujo administrador ou sócio detentor de mais de 5% (cinco por cento) do capital social seja diretor ou empregado da CAIXA; b)  Suspensa pela CAIXA ou impedida de contratar no âmbito da União; c)  Declarada inidônea; d)  Constituída por sócio de empresa que estiver suspensa, impedida ou declarada inidônea; e)  Cujo administrador seja sócio de empresa suspensa, impedida ou declarada inidônea; f)  Constituída por sócio ou cujo administrador tenha sido sócio ou administrador de empresa suspensa, impedida ou declarada inidônea, no período dos fatos que deram ensejo à sanção; g)  Que  tiver,  nos  seus  quadros  de  diretoria,  pessoa  que  participou,  em  razão  de  vínculo  de  mesma  natureza,  de empresa declarada inidônea."
3.1.11.2;"Aplica-se a vedação prevista no item [MN, 3.1.11.1] a)  à  contratação  do  próprio  empregado  ou  dirigente,  como  pessoa  física,  bem  como  à  participação  dele  em procedimentos licitatórios, na condição de licitante; b)  a quem tenha relação de parentesco, até o terceiro grau civil, com: ▪ dirigente CAIXA; ▪ empregado  CAIXA  lotado  nas  unidades  responsáveis  pela  instrução  da  demanda,  pela  licitação  ou  pela contratação ou pela gestão formal, técnica ou operacional do contrato; ▪ autoridade do Ministério da Fazenda. c)  cujo  proprietário,  mesmo  na  condição  de  sócio,  tenha  terminado  seu  prazo  de  gestão  ou  rompido  seu  vínculo com a CAIXA há menos de 6 (seis) meses. d)  Com proibição para contratar com o Setor Público. e)  Que seja empregador de Trabalho Escravo."
3.1.11.3;"É vedada a participação direta ou indireta nas licitações relativas a obras e serviços de engenharia: a)  de pessoa física ou jurídica que tenha elaborado o anteprojeto ou o projeto básico da licitação; b)  de pessoa jurídica que participar de consórcio responsável pela elaboração do anteprojeto ou do projeto básico da licitação; c)  de  pessoa  jurídica  da  qual  o  autor  do  anteprojeto  ou  do  projeto  básico  da  licitação  seja  administrador, controlador,  gerente,  responsável  técnico,  subcontratado  ou  sócio,  neste  último  caso  quando  a  participação superar 5% (cinco por cento) do capital votante."
3.1.11.3.1;"A vedação do item [MN, 3.1.11.3] não se aplica aos seguintes casos: a)  Adoção do regime de contratação integrada ou semi-integrada; b)  Manifestação de interesse privado; c)  Participação da pessoa física e das pessoas jurídicas de que tratam as alíneas “b” e “c” do item  [MN, 3.1.11.3] em licitação ou em execução de contrato, como consultor ou técnico, nas funções de fiscalização, supervisão ou gerenciamento, exclusivamente a serviço da CAIXA."
3.1.11.3.2;Considera-se  participação  indireta  a  existência  de  vínculos  de  natureza  técnica,  comercial,  econômica, financeira ou trabalhista entre o autor do projeto básico, pessoa física ou jurídica, e o licitante ou responsável pelos serviços, fornecimentos e obras, incluindo-se os fornecimentos de bens e serviços a estes necessários, bem como a participação de empregados incumbidos de levar a efeito atos e procedimentos realizados pela CAIXA no curso da licitação.
3.1.11.4;É impedida de participar de licitações de permissionários lotéricos e de ser contratada pela CAIXA a empresa ou pessoa física, titular e seus respectivos sócios, procuradores e administradores:
7;"/ 47 a)  que tenha permissão revogada compulsoriamente; b)  que  esteja  descredenciada  das  atividades  de  Correspondente  de  qualquer instituição financeira  por descumprimento contratual."
3.1.11.5;A CAIXA não se relaciona com pessoas físicas ou jurídicas que trazem potencial risco de imagem e reputação à Instituição Financeira, conforme [MN, AD006].
3.1.11.6;Em  observância  às  vedações  dispostas  acima,  a  contratada  deve  assinar  Declaração  de  Vedação  ao Nepotismo nos termos constantes nos editais e contratos padronizados. 3.1.12 PREVENÇÃO  À  LAVAGEM  DE  DINHEIRO,  AO  FINANCIAMENTO  DO  TERRORISMO  E  AO FINANCIAMENTO DA PROLIFERAÇÃO DE ARMAS DE DESTRUIÇÃO EM MASSA
3.1.12.1;"Observa as disposições constantes no [MN, PO006] e [MN, AD006], principalmente em relação aos seguintes aspectos: ▪ Conheça seu Cliente; ▪ Conheça seu empregado; ▪ Conheça seu Parceiro/Fornecedor/Prestador de Serviços Terceirizados; ▪ Operações ou situações consideradas suspeitas; ▪ Comunicação das situações com indícios de lavagem de dinheiro à unidade de PLD; ▪ Sanções e penalidades; ▪ Sigilo e discrição."
3.1.12.2;É responsabilidade de todo empregado/dirigente conhecer a Política de GEPLD da CAIXA e pautar a atuação conforme seus princípios e diretrizes e assinar o Termo de Ciência da [MN, PO006], disponível no portal IntegraMais. 3.1.13 PROGRAMA DE INTEGRIDADE
3.1.13.1;Quando da contratação de bens e serviços, os empregados da CAIXA devem observar as diretrizes do  [MN, OR142],  visando  contratar  fornecedores  com  idoneidade  para  o  fornecimento  de  bem  e/ou  prestação  de  serviços sustentáveis,  pautados  pela  atuação  ética  e  valores  de  respeito,  honestidade,  compromisso,  transparência  e responsabilidade.
3.1.13.2;Em todas as contratações,  precedidas de licitação, é condição obrigatória para formalização do contrato a assinatura do Termo de Recebimento, Ciência e Adesão ao Código de Conduta do Fornecedor CAIXA.
3.1.13.2.1;Nas contratações diretas, a assinatura do Termo de Recebimento, Ciência e Adesão ao Código de Conduta do Fornecedor CAIXA fica condicionada à aceitação do fornecedor, quando da negociação das condições contratuais.
3.1.13.3;O Fornecedor CAIXA deve seguir as orientações e princípios contidos no Código de Conduta do Fornecedor CAIXA,  anexo  obrigatório  dos  instrumentos  contratuais  precedidos  de  licitação,  que  tem  por  objetivo  nortear  o comportamento dos Fornecedores na execução dos contratos firmados com CAIXA.
3.1.13.3.1;Conforme  [MN,  AD242],  cabe  ao  gestor  operacional  dos  contratos  de  bens  e  serviços  acompanhar  e fiscalizar  a  prestação  dos  serviços/execução  da  obra/fornecimento  dos  bens  e  demandar  à  CEFOR  a  abertura  de processo  de  penalidade  na  ocorrência  de  descumprimento  contratual  e/ou  vi olação  ao  Código  de  Conduta  do Fornecedor CAIXA. 3.1.14 ATOS LESIVOS À CAIXA OU À ADMINISTRAÇÃO PÚBLICA
3.1.14.1;"A CECOT, a unidade gestora operacional, a CEFOR, outras unidades responsáveis por licitações, compras diretas e gestão de contratos ou quaisquer empregados que tenham conhecimento da ocorrência devem reportar à CORED quando identificados os seguintes atos  lesivos praticados por pessoas jurídicas ou em seu benefício contra a CAIXA: a)  prometer, oferecer ou dar, direta ou indiretamente, vantagem indevida a agente público ou a terceira pessoa a ele relacionada; b)  comprovadamente  financiar,  custear,  patrocinar  ou  de  qualquer  modo  subvencionar  a  prática  dos  atos  ilícitos previstos neste item; c)  comprovadamente  utilizar-se  de  interposta  pessoa  física  ou  jurídica  para  ocultar  ou  dissimular  seus  reais interesses ou a identidade dos beneficiários dos atos praticados; d)  frustrar  ou  fraudar,  mediante  ajuste,  combinação  ou  qualquer  outro  expediente,  o  caráter  competitivo  de procedimento licitatório;"
8;"/ 47 e)  impedir, perturbar ou fraudar a realização de qualquer ato de procedimento licitatório; f)  afastar ou procurar afastar licitante, por meio de fraude ou oferecimento de vantagem de qualquer tipo; g)  fraudar licitação ou contrato dela decorrente; h)  criar,  de  modo  fraudulento  ou  irregular,  pessoa  jurídica  para  participar  de  licitação  ou  celebrar  contrato administrativo com a CAIXA; i)  obter  vantagem  ou  benefício  indevido  de  modo  fraudulento,  de  modificações  ou  prorrogações  de  contratos celebrados com a CAIXA, sem autorização em lei, em normativo interno, no ato convocatório da licitação pública ou nos respectivos instrumentos contratuais; j)  manipular ou fraudar o equilíbrio econômico-financeiro dos contratos celebrados com a CAIXA; k)  dificultar  o  desempenho  das  atividades  de inclusive  as  de acompanhamento  e  fiscalização  de  contrato/ata  de  registros  de  preços,  ou  intervir  de  forma  inidônea  nestas atividades. fiscalização  da  CAIXA, investigação  e"
3.1.14.2;A unidade ou empregado responsável pela comunicação segue as orientações contidas no  [MN, AE137]. 3.2 RESPONSABILIDADES 3.2.1 GESTOR
3.2.1.1;Identificar a necessidade da CAIXA, realizar planejamento de compras de bens e serviços a serem realizadas no  ano  subsequente,  respeitando-se  o  orçamento  disponibilizado  para  cada  rubrica  orçamentária,  incluindo  as mesmas no Plano de Aquisições.
3.2.1.2;Definir  a  melhor  solução  para  atendimento  da  necessidade  identificada,  a  partir  da  realização  de  Estudos Preliminares.
3.2.1.3;Elaborar  o  Termo  de  Referência  da  contratação  contendo  a  especificação  do  objeto  e  os  elementos necessários à sua perfeita contratação e execução.
3.2.1.4;Realizar pesquisas de preços, estabelecendo a estimativa compatível com a prática de mercado, que será o preço máximo admitido na licitação/contratação, com vistas à obtenção da melhor proposta para a CAIXA.
3.2.1.5;Solicitar a contratação no SICLG de forma tempestiva, incluindo todos os documentos necessários à instrução do processo de licitação/contratação.
3.2.1.5.1;Na hipótese de abertura de pedido de contratação fora dos prazos mínimos  definidos, o gestor não poderá questionar  a  formalização  extemporânea  do  contrato,  nem  se  eximir  por  eventuais  responsabilizações,  observadas situações excepcionais, devidamente justificadas, essenciais ao funcionamento da CAIXA.
3.2.1.5.1.1;A solicitação de contratação extemporânea não impede o tratamento tempestivo e adequado da demanda pela GECOT/CECOT.
3.2.1.6;"Confeccionar Proposição, nos termos normatizados pela SEGER, conforme o  [MN, OR134], quando se tratar de  demanda  que  esteja  na  alçada  de  autorização  de  contratação/deflagração  do  Comitê  de  Contratações  e Sustentabilidade; e Conselho Diretor, conforme  [MN, AL080]."
3.2.1.6.1;Apresentar  e  relatar  Proposição  perante  as  devidas  instâncias,  conforme  os  respectivos  normativos  de regência.
3.2.1.6.2;Incluir a autorização no SICLG após aprovação da matéria.
3.2.1.7;Participar  da  condução  do  processo  licitatório  como  auxiliar  técnico,  por  intermédio  de  empregado(s) indicado(s) para compor a equipe de apoio, providenciando ajustes, respostas e justificativas necessárias para o bom andamento do processo.
3.2.1.7.1;Realizar  análise  de  questionamentos,  impugnações  e  habilitações  recebidos  durante  o  processo,  quando solicitado pela CECOT, e emitir parecer técnico.
3.2.1.8;Manifestar-se sobre possíveis riscos ambientais, climáticos ou sociais apresentados pelo objeto do contrato ou pelo fornecedor a ser contratado, conforme [MN, CR553], mediante solicitação da CECOT/GECOT.
3.2.1.9;Responder perante os órgãos de controle internos e externos pelo modelo adotado para a contratação do bem e/ou serviço sob sua gestão, incluindo a identificação e delineamento da necessidade, bem como quando comprovado sobrepreço ou superfaturamento.
3.2.1.10;Dar  conhecimento  tempestivo  à  GEOCF  dos  serviços  em  contratação  com  empresas  Big4  (PwC,  KPMG, Deloitte e EY).
3.2.1.11;Aos  contratos  administrados  pela  GEGAT,  as  atribuições  e  os  responsáveis  constam  dispostos  no  [MN, TE165].
9;/ 47
3.2.1.12;Compete  ao  gestor  demandante  informar  à  CECOT,  de  forma  tempestiva  e  formal,  sempre  que  houver atualização  da  Convenção  Coletiva  de  Trabalho  -  CCT  aplicável  à  categoria  profissional  relacionada  à  contratação até a data da publicação do edital, especialmente quando implicar atualização dos valores de salários normativos ou benefícios utilizados para estimar a contratação de serviços com mão de obra. 3.2.2 GECOT/CECOT
3.2.2.1;Prestar consultoria ao Gestor acerca das exigências previstas neste normativo e da elaboração da demanda para solicitação de contratação e de demais aspectos formais das contratações ao longo do processo da contratação, inclusive durante a etapa de planejamento.
3.2.2.2;Instruir  o  processo  de  contratação  de  bens  e  serviços,  conforme  o  caso,  obedecidos  os  preceitos  legais  e normativos, para a realização de licitação ou para a formalização de contratação direta.
3.2.2.3;Elaborar  edital  de  licitação  e/ou  minuta  de  contrato,  em  conformidade  com  os  modelos  padronizados  pela GECOT, com observância às especificidades da demanda.
3.2.2.3.1;Submeter  à  análise  da  GECOT  as  minutas  de  editais  e/ou  contratos  que  tiverem  alterações  de  cláusulas que conflitem com as normas vigentes de licitações e contratos.
3.2.2.3.2;Submeter  à  análise  da  unidade  jurídica  as  minutas  de  editais  e/ou  contratos  que  tiverem  alterações  nas cláusulas de natureza legal pré-aprovadas pela GEAJU nos modelos padronizados.
3.2.2.4;Cabe à CECOT elaborar e  submeter às autoridades competentes Proposição quando a demanda estiver na alçada  do  Comitê  de  Compras  e  Contratações  das  Centralizadoras  Nacionais  Contratações  e  Gestão  Formal  de Contratos.
